image_name,PSNR,SSIM,LPIPS
DSCF5865,22.34003448486328,0.7243584394454956,0.46831780672073364
DSCF6033,22.2921142578125,0.7671924233436584,0.45071539282798767
DSCF5961,21.317655563354492,0.7298194169998169,0.46111729741096497
DSCF6065,24.14482307434082,0.7784215211868286,0.44959795475006104
DSCF5905,23.288108825683594,0.7591243982315063,0.43235570192337036
DSCF5937,20.83478546142578,0.6863881945610046,0.45663323998451233
DSCF6057,24.502241134643555,0.8058135509490967,0.4161689877510071
DSCF5913,22.54796028137207,0.7427473664283752,0.4308467209339142
DSCF5881,22.958478927612305,0.7623723149299622,0.43842965364456177
DSCF5977,22.454721450805664,0.7873080968856812,0.4466628432273865
DSCF6009,19.912769317626953,0.748266875743866,0.4603036940097809
DSCF6049,24.259950637817383,0.7775248289108276,0.4893394112586975
DSCF6089,20.474754333496094,0.7395097017288208,0.5006036758422852
DSCF6041,24.286954879760742,0.8045815825462341,0.43853312730789185
DSCF5897,23.74814796447754,0.772946298122406,0.4852663278579712
DSCF5873,20.4622802734375,0.6965615749359131,0.4695361852645874
DSCF5969,20.080034255981445,0.7296584844589233,0.4959878921508789
DSCF5857,21.332578659057617,0.7204331755638123,0.493386447429657
DSCF5993,20.593097686767578,0.8108206391334534,0.4583973288536072
DSCF5889,21.502683639526367,0.7516441345214844,0.4852428436279297
DSCF5921,19.897554397583008,0.703726589679718,0.566047191619873
DSCF6025,24.39380645751953,0.7750575542449951,0.5007374286651611
DSCF5953,21.60423469543457,0.719509482383728,0.4371621906757355
DSCF5945,24.19019889831543,0.8197837471961975,0.48049119114875793
DSCF6017,23.6265869140625,0.7738608121871948,0.471471905708313
DSCF5929,20.85091781616211,0.719216525554657,0.459106981754303
DSCF5985,20.827444076538086,0.7793576121330261,0.44388625025749207
DSCF6073,22.998889923095703,0.7574509978294373,0.4357473850250244
DSCF6001,23.710891723632812,0.7659707069396973,0.4571097493171692
DSCF6081,23.88543701171875,0.7802188992500305,0.44059428572654724
