image_name,PSNR,SSIM,LPIPS
DSCF4915,27.584609985351562,0.7605414986610413,0.5272535085678101
DSCF4859,23.529449462890625,0.8144184947013855,0.4854923486709595
DSCF4723,25.042879104614258,0.8498097658157349,0.4294154644012451
DSCF4923,23.766231536865234,0.8135549426078796,0.43643176555633545
DSCF4755,27.245220184326172,0.8372535705566406,0.42932870984077454
DSCF4811,26.438648223876953,0.8538872003555298,0.43326279520988464
DSCF4763,27.95394515991211,0.8655171394348145,0.3950810730457306
DSCF4827,25.575672149658203,0.8003112077713013,0.44130975008010864
DSCF4715,27.570650100708008,0.8005508780479431,0.4546228051185608
DSCF4899,21.361785888671875,0.7391241788864136,0.5433003902435303
DSCF4939,13.852169036865234,0.7818894386291504,0.6166548728942871
DSCF4947,15.503922462463379,0.8055021166801453,0.5692899227142334
DSCF4851,21.762557983398438,0.7279413342475891,0.4871532917022705
DSCF4907,27.106170654296875,0.8534175157546997,0.46659576892852783
DSCF4691,27.53359031677246,0.8095781803131104,0.45150214433670044
DSCF4771,24.47564125061035,0.788018524646759,0.46457353234291077
DSCF4835,23.90277099609375,0.8510891795158386,0.4365233778953552
DSCF4883,27.03557586669922,0.8431012034416199,0.46335870027542114
DSCF4739,27.009098052978516,0.8641803860664368,0.40284550189971924
DSCF4931,23.87546157836914,0.8265382647514343,0.47582343220710754
DSCF4963,18.126558303833008,0.8418632745742798,0.5153623223304749
DSCF4675,27.28646469116211,0.7751557230949402,0.4437727928161621
DSCF4667,23.64664077758789,0.7297954559326172,0.47636470198631287
DSCF4819,23.816741943359375,0.8086159229278564,0.42881107330322266
DSCF4803,25.904569625854492,0.838636577129364,0.38330787420272827
DSCF4787,26.480915069580078,0.765618622303009,0.500798225402832
DSCF4795,25.215330123901367,0.8108376264572144,0.4608337879180908
DSCF4779,24.357685089111328,0.8165729641914368,0.4252299666404724
DSCF4707,23.489459991455078,0.8004480600357056,0.45533445477485657
DSCF4843,25.472713470458984,0.7925246953964233,0.4320906698703766
DSCF4731,23.4300537109375,0.8240935802459717,0.4277465343475342
DSCF4699,24.92416000366211,0.8643072843551636,0.4276903569698334
DSCF4891,22.39072608947754,0.7567493319511414,0.5133779644966125
DSCF4747,27.298328399658203,0.8210580945014954,0.43817001581192017
DSCF4971,26.13684844970703,0.846790611743927,0.5024757981300354
DSCF4875,20.893213272094727,0.7659915685653687,0.5285705924034119
DSCF4955,20.768611907958984,0.825294554233551,0.5523936152458191
DSCF4867,26.706132888793945,0.8639774918556213,0.4117504954338074
DSCF4683,26.583539962768555,0.7572910785675049,0.46722596883773804
