image_name,PSNR,SSIM,LPIPS
DSCF5589,22.35000228881836,0.7779455184936523,0.4357626736164093
DSCF5797,25.097639083862305,0.8566721677780151,0.4507594108581543
DSCF5701,25.15239906311035,0.8151792883872986,0.39677757024765015
DSCF5789,21.97064208984375,0.8555138111114502,0.4670151174068451
DSCF5821,25.601598739624023,0.8476055264472961,0.4189780354499817
DSCF5613,22.41427230834961,0.7802659273147583,0.46037667989730835
DSCF5653,23.00548553466797,0.7862004637718201,0.4302927255630493
DSCF5637,20.647706985473633,0.7619116306304932,0.4377763271331787
DSCF5629,24.056196212768555,0.7994766235351562,0.40536177158355713
DSCF5693,22.785301208496094,0.7745861411094666,0.42549633979797363
DSCF5845,23.864900588989258,0.8123326301574707,0.3972419500350952
DSCF5597,25.34790802001953,0.8108764290809631,0.37620794773101807
DSCF5685,18.91412353515625,0.7262161374092102,0.5213340520858765
DSCF5837,22.467308044433594,0.7841413617134094,0.40026015043258667
DSCF5581,23.425447463989258,0.7855454087257385,0.3921690583229065
DSCF5765,20.67388153076172,0.8140544295310974,0.5483392477035522
DSCF5853,24.03887176513672,0.8557983636856079,0.46209412813186646
DSCF5749,24.339080810546875,0.8058192133903503,0.45774465799331665
DSCF5573,24.899009704589844,0.8134825825691223,0.3695509433746338
DSCF5669,24.353485107421875,0.8093468546867371,0.35792505741119385
DSCF5709,22.990915298461914,0.7589260339736938,0.45418158173561096
DSCF5733,23.491926193237305,0.7874462604522705,0.48015034198760986
DSCF5805,24.483383178710938,0.8715097308158875,0.4347025156021118
DSCF5813,22.843921661376953,0.8158817291259766,0.44265493750572205
DSCF5677,24.834823608398438,0.8030673861503601,0.3609389662742615
DSCF5725,25.586606979370117,0.8343402147293091,0.4550929069519043
DSCF5781,23.774436950683594,0.8654961585998535,0.4608171880245209
DSCF5621,26.392898559570312,0.8318261504173279,0.3663625717163086
DSCF5829,24.653667449951172,0.8432574272155762,0.39677339792251587
DSCF5645,24.77037811279297,0.8015449047088623,0.3662269711494446
DSCF5741,21.526142120361328,0.740509033203125,0.5230659246444702
DSCF5661,18.80733299255371,0.7404664158821106,0.49613773822784424
DSCF5565,20.52737808227539,0.7548434734344482,0.44872236251831055
DSCF5605,24.6390380859375,0.7984114289283752,0.39614105224609375
DSCF5773,24.630746841430664,0.8531814813613892,0.49743056297302246
DSCF5757,23.047771453857422,0.8177677989006042,0.5252533555030823
DSCF5717,22.94776153564453,0.7644887566566467,0.4699549376964569
