image_name,PSNR,SSIM,LPIPS
_DSC9318,21.541244506835938,0.4746395945549011,0.6326777338981628
_DSC9237,20.953310012817383,0.4637303054332733,0.6461884379386902
_DSC9221,19.488840103149414,0.42643916606903076,0.680797815322876
_DSC9213,18.785831451416016,0.4158833622932434,0.6501365303993225
_DSC9229,19.878326416015625,0.43152913451194763,0.6590099334716797
_DSC9301,21.975330352783203,0.48546531796455383,0.6362054347991943
_DSC9253,21.381454467773438,0.46070805191993713,0.6329737901687622
_DSC9277,23.19267463684082,0.5761006474494934,0.5973864793777466
_DSC9269,21.66098403930664,0.4626951217651367,0.6253291964530945
_DSC9245,21.358722686767578,0.4943503439426422,0.6551516652107239
_DSC9309,22.026535034179688,0.5031309127807617,0.5919048190116882
_DSC9334,21.478904724121094,0.4687843918800354,0.6427586674690247
_DSC9285,21.4504337310791,0.45475736260414124,0.646777331829071
_DSC9293,22.432571411132812,0.5089593529701233,0.6107492446899414
_DSC9326,22.11251449584961,0.48994940519332886,0.593381404876709
_DSC9261,21.507558822631836,0.47999489307403564,0.6540169715881348
