image_name,PSNR,SSIM,LPIPS
DSC08124,21.679428100585938,0.5320334434509277,0.49137595295906067
DSC08012,21.725284576416016,0.589381217956543,0.48649871349334717
DSC08068,23.238601684570312,0.5652574300765991,0.49491041898727417
DSC08092,22.843292236328125,0.5624495148658752,0.4848913550376892
DSC07972,20.92047119140625,0.5150548219680786,0.5322766304016113
DSC08028,22.0382080078125,0.5598801374435425,0.48670077323913574
DSC07988,17.318500518798828,0.4847140610218048,0.5389831066131592
DSC08100,21.61319923400879,0.5235148072242737,0.5146142840385437
DSC08020,22.210342407226562,0.5962474346160889,0.4838562607765198
DSC08060,22.50226593017578,0.5461606979370117,0.492688924074173
DSC08036,21.179656982421875,0.5554527640342712,0.5012245178222656
DSC08116,22.2404842376709,0.5459840893745422,0.4883297383785248
DSC08052,22.316646575927734,0.5739760398864746,0.49644726514816284
DSC08140,22.341419219970703,0.5855235457420349,0.47272369265556335
DSC08084,22.160518646240234,0.5434138774871826,0.4979097843170166
DSC08076,21.38283920288086,0.5242875218391418,0.5032364726066589
DSC08132,21.722370147705078,0.5255416631698608,0.49661779403686523
DSC07996,20.628746032714844,0.5161734819412231,0.5199878215789795
DSC08004,21.99378204345703,0.5700273513793945,0.5029273629188538
DSC07956,20.05913543701172,0.5072850584983826,0.5195783376693726
DSC08108,21.307613372802734,0.5303882360458374,0.5132238864898682
DSC07964,18.706695556640625,0.46375203132629395,0.5609372854232788
DSC07980,19.423797607421875,0.4910200536251068,0.5231838226318359
DSC08044,21.837556838989258,0.5598370432853699,0.49917614459991455
